country,mode,model,mean_train_f1,mean_train_accuracy,mean_train_roc_auc,mean_train_specificity,mean_train_sensitivity,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy,best_params,is_SMOTE,refit
ML2006,sparse,Nearest Neighbor,0.90463124,0.831557702,0.719207721,0.231818182,0.918647323,584,20,76,56,0.560416667,0.9125,0.208333333,0.898461538,0.820652174,{'n_neighbors': 8},no,accuracy
ML2006,sparse,MLP,0.932330525,0.873239607,0.770717631,0,1,640,0,96,0,0.5,1,0,0.930232558,0.869565217,{'alpha': 0.1},no,accuracy
NG2018,sparse,Ridge,0.911896426,0.838061227,0.756481277,0,1,593,0,112,0,0.5,1,0,0.913713405,0.841134752,{'alpha': 1e-08},no,accuracy
NG2018,sparse,Decision Tree,0.902238025,0.824837807,0.723801302,0.097511312,0.965413534,586,3,109,7,0.507490665,0.988195616,0.026785714,0.909937888,0.835460993,{'criterion': 'gini'},no,accuracy
NG2018,sparse,Nearest Neighbor,0.899424615,0.823585898,0.700810709,0.205806938,0.942857143,566,13,99,27,0.535270116,0.954468803,0.116071429,0.899841017,0.821276596,{'n_neighbors': 8},no,accuracy
NG2018,sparse,MLP,0.911896426,0.838061227,0.762921019,0,1,593,0,112,0,0.5,1,0,0.913713405,0.841134752,{'alpha': 0.1},no,accuracy
NG2018,sparse+contextual,Ridge,0.911896426,0.838061227,0.745654578,0,1,593,0,112,0,0.5,1,0,0.913713405,0.841134752,{'alpha': 1e-08},no,accuracy
NG2018,sparse+contextual,Decision Tree,0.861740207,0.770021626,0.589462202,0.319306184,0.857142857,501,41,71,92,0.605464045,0.844856661,0.366071429,0.860085837,0.768794326,{'criterion': 'gini'},no,accuracy
NG2018,sparse+contextual,Nearest Neighbor,0.901403133,0.824833839,0.680099287,0.14811463,0.955639098,564,23,89,29,0.578226632,0.951096121,0.205357143,0.90529695,0.832624113,{'n_neighbors': 8},no,accuracy
NG2018,sparse+contextual,MLP,0.905362386,0.830500169,0.718968519,0.120512821,0.967669173,576,17,95,17,0.561558962,0.971332209,0.151785714,0.911392405,0.841134752,{'alpha': 0.05},no,accuracy
NG2018,all,Ridge,0.911715331,0.838061227,0.757822157,0.011764706,0.997744361,592,0,112,1,0.49915683,0.998313659,0,0.912875867,0.839716312,{'alpha': 1e-08},no,accuracy
NG2018,all,Decision Tree,0.85616698,0.760547983,0.571902749,0.291930618,0.85112782,515,48,64,78,0.648518429,0.86846543,0.428571429,0.87883959,0.79858156,{'criterion': 'entropy'},no,accuracy
NG2018,all,Nearest Neighbor,0.893368606,0.810965617,0.653275156,0.116515837,0.945112782,570,13,99,23,0.538642797,0.961214165,0.116071429,0.903328051,0.826950355,{'n_neighbors': 8},no,accuracy
NG2018,all,MLP,0.893397653,0.814100351,0.716048606,0.210105581,0.930827068,567,26,86,26,0.594149,0.956155143,0.232142857,0.91011236,0.841134752,{'alpha': 0.1},no,accuracy
NG2008,sparse,Ridge,0.815889056,0.713187781,0.744681024,0.26162025,0.901896633,901,118,300,103,0.589853505,0.897410359,0.282296651,0.81723356,0.716596343,{'alpha': 1e-08},no,accuracy
NG2008,sparse,Decision Tree,0.791807541,0.702777583,0.733691009,0.458970207,0.804660945,869,146,272,135,0.607410073,0.865537849,0.349282297,0.81025641,0.713783404,{'criterion': 'gini'},no,accuracy
NG2008,sparse,Nearest Neighbor,0.799499151,0.700334378,0.695689794,0.345935881,0.848503254,836,172,246,168,0.622076288,0.832669323,0.411483254,0.801534036,0.708860759,{'n_neighbors': 8},no,accuracy
NG2008,sparse,MLP,0.80631204,0.711964071,0.745336798,0.380181347,0.850681882,825,191,227,179,0.639325473,0.821713147,0.456937799,0.802529183,0.714486639,{'alpha': 0.1},no,accuracy
IA2020,sparse,Cost-sensitive Ridge,0.860315518,0.759497616,0.656051913,0.454232804,0.77167097,8875,202,223,2799,0.61776527,0.760236423,0.475294118,0.854515694,0.750227292,{'alpha': 1e-08},no,accuracy
IA2020,sparse,Cost-sensitive Decision Tree,0.835069735,0.722215767,0.636670416,0.481080389,0.731833272,8930,191,234,2744,0.607179756,0.764947747,0.449411765,0.857088012,0.753863956,{'criterion': 'gini'},no,accuracy
IA2020,sparse,Cost-sensitive Nearest Neighbor,0.979805238,0.960448332,0.535158854,0.025,0.997749908,11649,7,418,25,0.507164539,0.997858489,0.016470588,0.981340297,0.963385404,{'n_neighbors': 3},no,accuracy
IA2020,sparse,Cost-sensitive MLP,0.980452434,0.961654434,0.656287841,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 0.0001},no,accuracy
IA2020,sparse+contextual,Cost-sensitive Ridge,0.848689174,0.741974313,0.652208607,0.469034818,0.752858724,8923,189,236,2751,0.604527003,0.764348124,0.444705882,0.856621706,0.753120093,{'alpha': 1e-08},no,accuracy
IA2020,sparse+contextual,Cost-sensitive Decision Tree,0.959972121,0.923309075,0.522965932,0.092502987,0.956436739,11213,46,379,461,0.534372915,0.960510536,0.108235294,0.963895814,0.930572775,{'criterion': 'gini'},no,accuracy
IA2020,sparse+contextual,Cost-sensitive Nearest Neighbor,0.980572339,0.961902749,0.572370263,0.012028503,0.999778679,11666,6,419,8,0.506716182,0.999314716,0.014117647,0.982027863,0.964707827,{'n_neighbors': 8},no,accuracy
IA2020,sparse+contextual,Cost-sensitive MLP,0.980469463,0.961689907,0.598645421,0.001851852,0.999963113,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 0.05},no,accuracy
IA2020,all,Cost-sensitive Ridge,0.833349563,0.719910211,0.664933427,0.503242874,0.72855035,8618,205,220,3056,0.610287315,0.738221689,0.482352941,0.840288612,0.729233821,{'alpha': 1e-08},no,accuracy
IA2020,all,Cost-sensitive Decision Tree,0.962028101,0.927069047,0.521585304,0.082364738,0.96075249,11160,46,379,514,0.532102913,0.955970533,0.108235294,0.961530177,0.926192247,{'criterion': 'entropy'},no,accuracy
IA2020,all,Cost-sensitive Nearest Neighbor,0.980372989,0.961512539,0.565588536,0.00740314,0.999557359,11667,4,421,7,0.504406071,0.999400377,0.009411765,0.981988048,0.964625176,{'n_neighbors': 8},no,accuracy
IA2020,all,Cost-sensitive MLP,0.980452434,0.961654434,0.61044603,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 0.1},no,accuracy
IA2006,sparse,Cost-sensitive Ridge,0.539769505,0.425951569,0.587072587,0.804594039,0.378695694,919,240,78,1468,0.569859538,0.685002095,0.754716981,0.743144208,0.684658041,{'alpha': 1e-08},no,accuracy
IA2006,sparse,Cost-sensitive Decision Tree,0.67642082,0.546628669,0.608198967,0.650924974,0.533625054,1336,203,115,1051,0.599031573,0.559698366,0.63836478,0.696195935,0.568946396,{'criterion': 'gini'},no,accuracy
IA2006,sparse,Cost-sensitive Nearest Neighbor,0.938428136,0.88426746,0.567275561,0.014388489,0.992831541,2387,0,318,0,0.5,1,0,0.937549097,0.882439926,{'n_neighbors': 8},no,accuracy
IA2006,sparse,Cost-sensitive MLP,0.941265814,0.889048336,0.616621063,0,1,2387,0,318,0,0.5,1,0,0.937549097,0.882439926,{'alpha': 0.0001},no,accuracy
IA2015,sparse,Cost-sensitive Ridge,0.823090588,0.712123096,0.71727624,0.635897436,0.717568693,9185,601,367,3654,0.668133082,0.715398396,0.620867769,0.820418918,0.708770913,{'alpha': 1e-08},no,accuracy
IA2015,sparse,Cost-sensitive Decision Tree,0.845629097,0.743176873,0.708956678,0.594405594,0.753805162,9761,565,403,3078,0.671969694,0.760261703,0.583677686,0.848671912,0.747881509,{'criterion': 'gini'},no,accuracy
IA2015,sparse,Cost-sensitive Nearest Neighbor,0.963144764,0.929095431,0.619545949,0.038694639,0.992706078,12749,38,930,90,0.516123153,0.992990108,0.039256198,0.961535561,0.92612443,{'n_neighbors': 8},no,accuracy
IA2015,sparse,Cost-sensitive MLP,0.965511697,0.933322972,0.716221214,0,1,12839,0,968,0,0.5,1,0,0.963671846,0.929890635,{'alpha': 0.0001},no,accuracy
IA2015,sparse+contextual,Cost-sensitive Ridge,0.839839547,0.735250233,0.740451527,0.615850816,0.743780183,9605,583,385,3234,0.675191975,0.748111224,0.602272727,0.841473564,0.737886579,{'alpha': 1e-08},no,accuracy
IA2015,sparse+contextual,Cost-sensitive Decision Tree,0.938523064,0.885732048,0.561613651,0.202331002,0.934554538,12001,200,768,838,0.570670845,0.934730119,0.20661157,0.937285223,0.88368219,{'criterion': 'entropy'},no,accuracy
IA2015,sparse+contextual,Cost-sensitive Nearest Neighbor,0.96476508,0.932110662,0.626971502,0.04009324,0.995836803,12795,35,933,44,0.516364983,0.996572942,0.036157025,0.963225054,0.929238792,{'n_neighbors': 8},no,accuracy
IA2015,sparse+contextual,Cost-sensitive MLP,0.965296773,0.933012123,0.677002692,0.02004662,0.998234804,12835,6,962,4,0.502943398,0.999688449,0.006198347,0.963733293,0.930035489,{'alpha': 0.0001},no,accuracy
IA2015,all,Cost-sensitive Ridge,0.843008977,0.739881878,0.744989587,0.621911422,0.748309742,9656,597,371,3183,0.684409516,0.752083496,0.616735537,0.844572728,0.742594336,{'alpha': 1e-08},no,accuracy
IA2015,all,Cost-sensitive Decision Tree,0.938800953,0.886073982,0.559537526,0.182284382,0.936353039,12010,147,821,829,0.543645306,0.935431108,0.151859504,0.935722633,0.880495401,{'criterion': 'gini'},no,accuracy
IA2015,all,Cost-sensitive Nearest Neighbor,0.964784665,0.932079577,0.609435144,0.025174825,0.996869276,12794,30,938,45,0.513743395,0.996495054,0.030991736,0.96300478,0.92880423,{'n_neighbors': 8},no,accuracy
IA2015,all,Cost-sensitive MLP,0.963726219,0.93024557,0.716262477,0.044289044,0.993538718,12836,6,962,3,0.502982342,0.999766337,0.006198347,0.963772197,0.930107916,{'alpha': 0.1},no,accuracy
ML2018,sparse,Cost-sensitive Ridge,0.822983678,0.73155569,0.754998417,0.66977058,0.742959981,324,65,20,116,0.750534759,0.736363636,0.764705882,0.826530612,0.740952381,{'alpha': 1e-08},no,accuracy
